procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2489220 117272 1247988    0    0     0     0 1162  3534 24  1 75  0
 1  0    144 2489220 117272 1247988    0    0     0    36 1153  3759 24  1 75  0
 1  0    144 2489604 117272 1247988    0    0     0     0 1151  3294 24  1 75  0
 1  0    144 2488140 117272 1247988    0    0     0     0 1155  3697 24  1 75  0
 1  0    144 2488076 117272 1247988    0    0     0    16 1155  3064 24  1 75  0
 1  0    144 2488068 117272 1247988    0    0     0     0 1163  3120 24  1 75  0
Mon Aug 18 14:57:02 PDT 2008
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2488068 117272 1247988    0    0     1     9    3     1 10  1 88  0
 1  0    144 2488068 117272 1247988    0    0     0    70 1169  3210 24  1 75  0
 1  0    144 2488076 117272 1247988    0    0     0     0 1163  2765 24  1 75  0
 1  0    144 2485644 117272 1247988    0    0     0     0 1186  2555 25  1 74  0
 1  0    144 2485580 117272 1247988    0    0     0    80 1170  3292 24  2 75  0
 1  0    144 2485764 117272 1247988    0    0     0     0 1162  3358 24  1 75  0
 1  0    144 2485764 117272 1247988    0    0     0    36 1156  3112 24  1 75  0
 1  0    144 2485764 117272 1247988    0    0     0     0 1161  3109 24  1 75  0
 1  0    144 2485580 117272 1247988    0    0     0     0 1165  2981 24  1 75  0
 1  0    144 2485580 117272 1247988    0    0     0    16 1153  3028 24  1 75  0
 1  0    144 2485628 117272 1247988    0    0     0     0 1210  2951 24  1 75  0
 1  0    144 2485628 117272 1247988    0    0     0    28 1159  2967 24  1 75  0
 1  0    144 2485644 117272 1247988    0    0     0     0 1161  2129 24  1 75  0
 1  0    144 2484364 117272 1247988    0    0     0     0 1167  2266 24  1 75  0
 1  0    144 2485196 117272 1247988    0    0     0    16 1149  2429 24  1 75  0
 1  0    144 2485700 117272 1247988    0    0     0     0 1164  2663 24  1 75  0
 1  0    144 2485828 117272 1247988    0    0     0    44 1160  2514 24  1 75  0
 1  0    144 2486020 117272 1247988    0    0     0     0 1160  3382 24  1 75  0
 1  0    144 2486092 117272 1247988    0    0     0     0 1161  2378 24  1 75  0
 1  0    144 2486668 117272 1247988    0    0     0    18 1154  2321 24  1 75  0
 1  0    144 2486980 117272 1247988    0    0     0     0 1160  3111 24  1 75  0
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2487108 117272 1247988    0    0     0    64 1167  3177 24  1 75  0
 1  0    144 2487372 117272 1247988    0    0     0     0 1156  3018 24  1 75  0
 1  0    144 2485964 117272 1247988    0    0     0     0 1161  1969 24  1 75  0
 1  0    144 2487244 117272 1247988    0    0     0    16 1156  2172 24  1 75  0
 1  0    144 2487300 117272 1247988    0    0     0     0 1164  2471 24  1 75  0
 1  0    144 2487364 117272 1247988    0    0     0    28 1151  2620 24  1 75  0
 1  0    144 2488132 117272 1247988    0    0     0     0 1163  3700 24  2 75  0
 1  0    144 2488332 117272 1247988    0    0     0     0 1160  3103 24  1 75  0
 1  0    144 2489420 117272 1247988    0    0     0    16 1158  3349 24  1 75  0
Mon Aug 18 14:58:00 PDT 2008
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2489484 117272 1247988    0    0     1     9    3     1 10  1 88  0
 1  0    144 2489540 117272 1247988    0    0     0     0 1161  3639 24  1 75  0
 1  0    144 2489924 117272 1247988    0    0     0    60 1160  3754 24  1 75  0
 1  0    144 2490316 117272 1247988    0    0     0     0 1158  3405 24  1 75  0
 1  0    144 2487564 117272 1247988    0    0     0     0 1189  2863 24  1 75  0
 1  0    144 2487564 117272 1247988    0    0     0    16 1161  3789 24  1 75  0
 1  0    144 2487676 117272 1247988    0    0     0     0 1165  3418 24  1 75  0
 1  0    144 2487676 117272 1247988    0    0     0    28 1153  2649 24  1 75  0
 1  0    144 2487676 117272 1247988    0    0     0     0 1155  3089 24  1 75  0
 1  0    144 2487628 117272 1247988    0    0     0     0 1169  2778 24  1 75  0
 1  0    144 2487564 117272 1247988    0    0     0    56 1160  2580 24  1 75  0
 1  0    144 2487556 117272 1247988    0    0     0     0 1160  3194 24  1 75  0
 1  0    144 2487556 117272 1247988    0    0     0    36 1151  3517 24  1 75  0
 1  0    144 2487564 117272 1247988    0    0     0     0 1165  3316 24  1 75  0
 1  0    144 2484428 117272 1247988    0    0     0     0 1163  2568 24  1 75  0
 1  0    144 2484876 117272 1247988    0    0     0    16 1156  2412 24  1 75  0
 1  0    144 2486212 117272 1247988    0    0     0     0 1156  4071 24  1 75  0
 1  0    144 2487684 117272 1247988    0    0     0    36 1161  4172 24  1 75  0
 1  0    144 2489092 117272 1247988    0    0     0     0 1160  3524 24  1 75  0
 1  0    144 2488268 117272 1247988    0    0     0     0 1155  3417 24  1 75  0
 1  0    144 2488332 117272 1247988    0    0     0    24 1153  3839 24  2 75  0
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2489028 117272 1247988    0    0     0     0 1158  3906 24  1 75  0
 1  0    144 2489092 117272 1247988    0    0     0    28 1159  3278 24  1 75  0
 1  0    144 2489100 117272 1247988    0    0     0     0 1162  3450 24  1 75  0
 1  0    144 2488396 117272 1247988    0    0     0     0 1154  2847 24  1 74  0
 1  0    144 2488396 117272 1247988    0    0     0    24 1152  3425 24  1 75  0
 1  0    144 2488388 117272 1247988    0    0     0     0 1164  3400 24  1 75  0
 1  0    144 2488388 117272 1247988    0    0     0    50 1164  3349 24  1 75  0
 1  0    144 2487940 117272 1247988    0    0     0     0 1163  2712 24  1 75  0
 1  0    144 2486284 117272 1247988    0    0     0     0 1156  2475 24  1 75  0
Mon Aug 18 14:58:58 PDT 2008
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2486284 117272 1247988    0    0     1     9    3     1 10  1 88  0
 1  0    144 2486156 117272 1247988    0    0     0    36 1158  2478 24  1 75  0
 1  0    144 2486140 117272 1247988    0    0     0     0 1160  2907 24  1 75  0
 1  0    144 2486140 117272 1247988    0    0     0    36 1159  3190 24  1 75  0
 1  0    144 2486092 117272 1247988    0    0     0     0 1164  3026 24  1 75  0
 1  0    144 2483340 117272 1247988    0    0     0     0 1196  2945 24  1 75  0
